Заголовок новости,Ссылка,Рубрика,Дата публикации,Количество просмотров,Частота публикаций,Метка рубрики
"«Хотят контрактов на отстрел, как раньше»: депутаты из Башкирии предложили признать бродячих собак дикими животными",https://ufa1.ru/text/ecology/2022/11/08/71799740/,Экология,2022-11-08 21:00:00,7808,84240,15
"Глава Минтруда рассказал, как вырастет материнский капитал в 2023 году",https://ufa1.ru/text/economics/2022/11/08/71800586/,Экономика,2022-11-08 20:55:00,1778,86100,2
Вертолет Ми-2 разбился в Костромской области,https://ufa1.ru/text/incidents/2022/11/08/71800460/,Происшествия,2022-11-08 20:18:00,1420,84180,25
В Башкирии сотрудники металлургического комбината через суд добились отмены мобилизации,https://ufa1.ru/text/incidents/2022/11/08/71800337/,Происшествия,2022-11-08 20:05:00,4249,85620,25
В Уфе у предпринимательницы Юлии Романчевой украли более полутора миллиона рублей,https://ufa1.ru/text/incidents/2022/11/08/71800094/,Происшествия,2022-11-08 19:25:00,12735,84000,25
«Поддерживаю вас»: Элвин Грей — о скандале с мобилизованными в Казани,https://ufa1.ru/text/incidents/2022/11/08/71799905/,Происшествия,2022-11-08 18:18:00,9821,82380,25
Крупная федеральная компания откроет первый гипермаркет электрики в Уфе,https://ufa1.ru/text/gorod/2022/11/08/71799047/,Город,2022-11-08 18:10:00,9078,85920,12
"«Здесь так спокойно, нигде ничего не взрывается»: вернувшийся из зоны СВО врач — о работе и жизни в Донбассе",https://ufa1.ru/text/world/2022/11/08/71797682/,Здоровье  Страна и мир,2022-11-08 17:00:00,2372,82200,23
Житель Башкирии стал новым обвиняемым в деле о межрегиональной коррупции в ГИБДД,https://ufa1.ru/text/criminal/2022/11/08/71799605/,Криминал,2022-11-08 16:30:00,2703,84600,17
«Могут быть в Уфе»: в Башкирии ищут троих пропавших подростков,https://ufa1.ru/text/incidents/2022/11/08/71799344/,Происшествия,2022-11-08 14:55:00,3098,80700,25
На совещании в мэрии Уфы похвастались новой снегоуборочной техникой. Но коммунальщикам не хватает сотрудников,https://ufa1.ru/text/transport/2022/11/08/71799119/,Дороги и транспорт,2022-11-08 14:16:00,2790,84060,19
В Уфе до конца января перекроют крупную улицу с плотным движением. Публикуем схему,https://ufa1.ru/text/transport/2022/11/08/71799020/,Дороги и транспорт,2022-11-08 13:20:00,15750,83040,19
«Продаю квартиру в Крыму. Срочно!»: россияне начали избавляться от недвижимости на полуострове,https://ufa1.ru/text/realty/2022/11/08/71797598/,Недвижимость,2022-11-08 13:00:00,6504,85200,4
Месяц назад вице-премьер Башкирии вызвался добровольцем на СВО. Почему он до сих пор не уехал?,https://ufa1.ru/text/politics/2022/11/08/71798888/,Политика,2022-11-08 13:00:00,7499,0,22
Кто из военнослужащих получит президентские 195 тысяч? Ответили в Минобороны,https://ufa1.ru/text/world/2022/11/08/71798945/,Страна и мир,2022-11-08 12:42:13,2082,85333,18
"Стало известно, кого будут судить за взрыв на «Уфаоргсинтезе»",https://ufa1.ru/text/incidents/2022/11/08/71798600/,Происшествия,2022-11-08 12:04:00,15670,84107,25
"«Отдадут под трибунал». Мобилизованные заявили, что их заставили сменить ВУС под угрозами",https://ufa1.ru/text/world/2022/11/08/71796311/,Страна и мир,2022-11-08 12:00:00,5154,86160,18
"«Город может скоро узнать, что такое настоящие пробки»: эксперт по транспорту — о дорожном развитии Уфы",https://ufa1.ru/text/transport/2022/09/06/71631401/,Дороги и транспорт,2022-11-08 11:42:00,15798,85320,19
"В Минобороны объяснили, когда мобилизованные будут получать выплаты",https://ufa1.ru/text/economics/2022/11/08/71798630/,Экономика,2022-11-08 11:11:00,1255,84540,2
"В память о ней назвали поисковый отряд. История Ирины Бухановой, которую убил бывший парень — сейчас он может выйти по УДО",https://ufa1.ru/text/criminal/2022/11/08/71797460/,Криминал,2022-11-08 11:00:00,6316,85740,17
В Минобороны поддержали идею вернуть в школы начальную военную подготовку,https://ufa1.ru/text/education/2022/11/08/71798552/,Образование,2022-11-08 10:56:07,1242,86167,16
Власти определились с решением по поводу двухлетней службы в армии,https://ufa1.ru/text/world/2022/11/08/71798477/,Страна и мир,2022-11-08 10:55:34,2500,86367,18
ИНН нужен? Какие документы у вас могут требовать при приеме на работу,https://ufa1.ru/text/job/2022/11/08/71796980/,Работа,2022-11-08 10:00:00,1073,83066,20
Уфу ждут серьезные пробки: главные транспортные артерии будут перекрываться в течение недели,https://ufa1.ru/text/transport/2022/11/08/71798273/,Дороги и транспорт,2022-11-08 09:50:00,7648,85800,19
"Мобилизованный из Уфы погиб на Украине. Рассказываем, что о нем известно",https://ufa1.ru/text/incidents/2022/11/08/71798219/,Происшествия,2022-11-08 09:20:00,19994,84600,25
«Люди больше не хотят каждый год менять гаджеты»: продажи смартфонов в России упали на 30%,https://ufa1.ru/text/economics/2022/11/08/71797379/,Экономика,2022-11-08 09:00:00,1585,85200,2
Встали намертво: Уфа потонула в автомобильных пробках,https://ufa1.ru/text/transport/2022/11/08/71798198/,Дороги и транспорт,2022-11-08 08:55:00,13601,86100,19
Вылетел в кювет: в Башкирии пенсионер скончался в ДТП. Видео,https://ufa1.ru/text/incidents/2022/11/08/71798180/,Происшествия,2022-11-08 08:40:00,2183,85500,25
В Уфе загорелась церковь-памятник архитектуры. Видео,https://ufa1.ru/text/incidents/2022/11/08/71798171/,Происшествия,2022-11-08 08:26:00,7481,85560,25
Страшнее рака и ковида: от чего чаще всего умирают россияне и как предотвратить болезнь,https://ufa1.ru/text/health/2022/11/08/71797955/,Здоровье,2022-11-08 08:00:00,2481,84840,23
"«Нужна воля первых лиц региона, а ее нет»: почему в Уфе не было, нет и не будет метро",https://ufa1.ru/text/transport/2022/11/08/71795609/,Дороги и транспорт,2022-11-08 07:30:00,12382,84600,19
Сколько мобилизованных участвуют в боях и будут ли набирать еще: новости СВО за 7 ноября,https://ufa1.ru/text/world/2022/11/07/71797514/,Страна и мир,2022-11-07 22:00:00,2548,52200,18
"На Украине погиб 42-летний ветеран Чечни, мобилизованный из Башкирии",https://ufa1.ru/text/incidents/2022/11/07/71797727/,Происшествия,2022-11-07 20:42:00,33244,81720,25
Путин пообещал лично обсудить с россиянами выплаты мобилизованным,https://ufa1.ru/text/politics/2022/11/07/71797310/,Политика,2022-11-07 19:20:00,2061,81480,22
От пожара на ж/д станции в Уфе пострадала ремонтная компания. Что об этом говорит ее руководитель,https://ufa1.ru/text/incidents/2022/11/07/71796620/,Происшествия,2022-11-07 19:07:00,3629,85620,25
"В Башкирии выбрали главного силача. Когда-то он занимался вокалом, а теперь тягает железо",https://ufa1.ru/text/sport/2022/11/07/71796707/,Спорт,2022-11-07 18:45:22,2187,85102,1
«За свой счет это может делать только Москва»: урбанист — об отказе чиновников строить в Уфе метро,https://ufa1.ru/text/transport/2022/11/07/71795921/,Дороги и транспорт,2022-11-07 18:15:26,4382,84604,19
"В этом стыдно признаться: откровения мамы, которая постоянно кричит на детей (и советы, как перестать орать)",https://ufa1.ru/text/family/2022/11/07/71785835/,Семья,2022-11-07 18:00:00,1680,85474,26
"«Пацаны уехали, а он — домой»: в Башкирии мужчина избил соседа из-за «брони» от мобилизации",https://ufa1.ru/text/criminal/2022/11/07/71796878/,Криминал,2022-11-07 17:35:00,8183,84900,17
Почему повестки продолжают приходить после завершения частичной мобилизации,https://ufa1.ru/text/world/2022/11/07/71796929/,Страна и мир,2022-11-07 17:21:00,2295,85560,18
«Вы уже лет 20 стараетесь»: экономист «доказал» неэффективность чиновников Башкирии,https://ufa1.ru/text/economics/2022/11/07/71796626/,Экономика,2022-11-07 16:00:00,8340,81540,2
Будет ли новый набор мобилизованных? Ответили в Госдуме,https://ufa1.ru/text/world/2022/11/07/71796647/,Страна и мир,2022-11-07 15:48:00,3648,85680,18
В Уфе у известного застройщика украли сейф с почти 3 миллионами рублей внутри: видео,https://ufa1.ru/text/criminal/2022/11/07/71796602/,Криминал,2022-11-07 15:45:00,6097,86220,17
"В Кремле рассказали, возможны ли переговоры с Украиной",https://ufa1.ru/text/world/2022/11/07/71796491/,Страна и мир,2022-11-07 15:04:43,1942,83983,18
"«Теща сказала, что я трус, бросивший семью». История отца троих детей, который уехал в Казахстан, но через месяц вернулся в Россию",https://ufa1.ru/text/world/2022/11/07/71791676/,Страна и мир,2022-11-07 15:00:00,6279,86117,18
"Шли к маме и решили сократить: подробности гибели мальчика из Башкирии, утонувшего на глазах у сестры",https://ufa1.ru/text/incidents/2022/11/07/71796473/,Происшествия,2022-11-07 14:57:19,4450,86239,25
Московская компания построит детский лагерь в Башкирии за 3 миллиарда рублей,https://ufa1.ru/text/health/2022/11/07/71796245/,Здоровье,2022-11-07 14:05:00,2594,83261,23
«Подсветка — это роскошь»: глава Башкирии снова призвал не тратиться на празднование Нового года,https://ufa1.ru/text/incidents/2022/11/07/71796116/,Происшествия,2022-11-07 13:24:00,2857,83940,25
"Парты на кухне и советские учебники: репортаж из «тайной» школы, которую родители предпочли обычной",https://ufa1.ru/text/education/2022/11/07/71791604/,Образование,2022-11-07 13:00:00,6761,84960,16
"«Туда не лезьте»: Хабиров рассказал, кто занимается сбором данных о раненых солдатах из Башкирии",https://ufa1.ru/text/politics/2022/11/07/71796053/,Политика,2022-11-07 12:55:48,9087,86148,22
В Уфе собираются строить новую поликлинику. Рассказываем где,https://ufa1.ru/text/health/2022/11/07/71796023/,Здоровье,2022-11-07 12:42:53,5236,85625,23
Радий Хабиров: «На передовую уже никого не надо отправлять»,https://ufa1.ru/text/politics/2022/11/07/71795987/,Политика,2022-11-07 12:29:21,5323,85588,22
"«Если вручили повестку, значит надо ехать»: как детский нейрохирург из Башкирии вернулся с СВО после просьб пациентов и коллег",https://ufa1.ru/text/gorod/2022/11/07/71795906/,Город,2022-11-07 12:25:00,9735,86139,12
"В Башкирии запустили новый мусоросортировочный комплекс. Рассказываем, кому он принадлежит",https://ufa1.ru/text/ecology/2022/11/07/71795846/,Экология,2022-11-07 12:02:44,3207,85064,15
За массовый мор рыбы в Башкирии под суд пойдет замдиректора крупной молочной компании,https://ufa1.ru/text/incidents/2022/11/07/71795675/,Происшествия  Экология,2022-11-07 11:30:00,2909,84436,25
В Башкирии в больнице скончался пятый пострадавший в ДТП с фурой и минивэном,https://ufa1.ru/text/incidents/2022/11/07/71795573/,Происшествия,2022-11-07 10:15:00,4658,81900,25
"Это что за шуфлядка? Проверьте, знаете ли вы значения редких слов русского языка",https://ufa1.ru/text/education/2022/11/07/71793110/,Образование,2022-11-07 10:00:00,2179,85500,16
В больнице Уфы после пожара скончалась 87-летняя пенсионерка,https://ufa1.ru/text/incidents/2022/11/07/71795483/,Происшествия,2022-11-07 09:41:00,1805,85260,25
Набрасываются на людей и грызут зеркала машин: жителей Уфы держит в страхе стая бродячих собак,https://ufa1.ru/text/incidents/2022/11/07/71795429/,Происшествия,2022-11-07 09:21:00,11504,85200,25
Уфу в первый рабочий день снова сковали пробки,https://ufa1.ru/text/transport/2022/11/07/71795441/,Дороги и транспорт,2022-11-07 09:01:00,2397,85200,19
«Прошли 7 кругов ада»: как мамы детей с диабетом выбивают инсулин через силовиков и суды,https://ufa1.ru/text/health/2022/11/07/71790797/,Здоровье,2022-11-07 09:00:00,1518,86340,23
Умер на глазах сестры: в Башкирии утонул 8-летний мальчик,https://ufa1.ru/text/incidents/2022/11/07/71795408/,Происшествия,2022-11-07 08:30:00,3734,84600,25
"«Стиляги включили перед трибуной Beatles, их быстро скрутили и увели в подворотню»: воспоминания уфимцев о демонстрациях в СССР",https://ufa1.ru/text/culture/2022/11/07/71792345/,Культура,2022-11-07 08:30:00,5057,0,6
У вас остался месяц: какие налоги нужно заплатить до декабря (и как на них сэкономить),https://ufa1.ru/text/economics/2022/11/07/71792294/,Экономика,2022-11-07 08:00:00,1648,84600,2
"Депутат, банкир или «колбасный король»: у кого больше дача в скандальном поселке под Уфой",https://ufa1.ru/text/gorod/2022/11/07/71780603/,Город,2022-11-07 07:20:00,7190,84000,12
"Теракт, избиение ребенка и новый вуз: итоги недели в Башкирии",https://ufa1.ru/text/gorod/2022/11/07/71795192/,Город,2022-11-07 05:00:00,4288,78000,12
Из Киева могут эвакуировать 3 миллиона человек: новости СВО за 6 ноября,https://ufa1.ru/text/politics/2022/11/06/71795150/,Политика,2022-11-06 20:00:18,3248,54018,22
«У него позвоночные грыжи и новообразования в печени»: родственники мобилизованного из Башкирии просят вернуть его домой,https://ufa1.ru/text/gorod/2022/11/06/71782949/,Город,2022-11-06 20:00:00,14059,86382,12
«3000 рублей за воздух»: пенсионерка из Уфы возмутилась платежками за мусор в загородном доме,https://ufa1.ru/text/gorod/2022/11/06/71789795/,Город,2022-11-06 19:00:00,6682,82800,12
Мобилизованный детский нейрохирург из Башкирии вернулся домой,https://ufa1.ru/text/incidents/2022/11/06/71795048/,Происшествия,2022-11-06 18:20:00,19556,84000,25
Во время спецоперации на Украине погиб 35-летний сержант из Башкирии,https://ufa1.ru/text/incidents/2022/11/06/71794997/,Происшествия,2022-11-06 17:20:00,11002,82800,25
"Воруют из карманов, выкручивают лампочки и дарят много счастья. Хозяйка семейки енотов рассказала о своих питомцах",https://ufa1.ru/text/animals/2022/11/06/71790485/,Животные,2022-11-06 17:00:00,1511,85200,5
Пожар на железнодорожной станции в Уфе полностью потушили,https://ufa1.ru/text/incidents/2022/11/06/71794892/,Происшествия,2022-11-06 16:00:00,3902,82800,25
"Осмотрели все село и водоемы: как в Башкирии искали троих пропавших мальчиков, пока они спали в багажнике",https://ufa1.ru/text/incidents/2022/11/06/71794853/,Происшествия,2022-11-06 15:40:00,4478,85200,25
"«Она отличается»: дерматолог рассказала, как найти у себя смертельно опасную родинку",https://ufa1.ru/text/health/2022/11/06/71790569/,Здоровье,2022-11-06 15:00:00,2360,84000,23
"В минивэне, попавшем в смертельное ДТП, ехала семья из Башкирии",https://ufa1.ru/text/incidents/2022/11/06/71794691/,Происшествия,2022-11-06 15:00:00,4824,0,25
"«Мы видели, как выносили умерших в пакетах»: репортаж из Костромы, где сгорел ночной клуб",https://ufa1.ru/text/incidents/2022/11/06/71794784/,Происшествия,2022-11-06 14:58:38,1741,86318,25
Купить квартиру или отложить деньги? Как изменился спрос на недвижимость в Башкирии после мобилизации,https://ufa1.ru/text/business/2022/11/06/71785370/,Бизнес  Недвижимость,2022-11-06 14:00:00,8661,82882,29
В Уфе загорелась железнодорожная станция «Бензин»,https://ufa1.ru/text/incidents/2022/11/06/71794619/,Происшествия,2022-11-06 13:25:00,12800,84300,25
"В одном из городов Башкирии просрочили ремонт площади. Узнали, когда ее откроют",https://ufa1.ru/text/gorod/2022/11/06/71794598/,Город,2022-11-06 13:00:00,3088,84900,12
"В Россию хлынули «параллельные» VW, Mazda и Chevrolet. Смотрим ассортимент и обалдеваем от цен",https://ufa1.ru/text/auto/2022/11/06/71789003/,Авто,2022-11-06 12:00:00,14623,82800,8
Не уступил дорогу фуре: появились подробности ДТП с 4 погибшими в Башкирии,https://ufa1.ru/text/incidents/2022/11/06/71794499/,Происшествия,2022-11-06 11:32:00,7050,84720,25
"«Такие, как я, поставляли бандитов для ОПГ». История парня, который наводит порядок у себя «на районе»",https://ufa1.ru/text/world/2022/11/06/71791523/,Страна и мир,2022-11-06 11:00:00,2902,84480,18
Слитый «БУНТ»: как объединяли два основных университета Башкирии,https://ufa1.ru/text/education/2022/11/06/71787077/,Образование,2022-11-06 11:00:00,12269,0,16
Власти назвали стоимость строительства метро в Уфе,https://ufa1.ru/text/transport/2022/11/06/71794433/,Дороги и транспорт,2022-11-06 10:05:00,14628,83100,19
"Врачи назвали 20 продуктов, которые могут привести к подагре",https://ufa1.ru/text/food/2022/11/06/71792207/,Еда,2022-11-06 10:00:00,2327,86100,3
"«Кажется, это тянулось вечность»: как не дали умереть селу Могильному, вернув домой мобилизованного многодетного фермера",https://ufa1.ru/text/world/2022/11/06/71794295/,Семья  Страна и мир,2022-11-06 09:00:00,4138,82800,26
Могила «врага Гитлера» в Уфе: где похоронен «Черный генерал» из Башкирии,https://ufa1.ru/text/gorod/2022/11/06/71779013/,Город,2022-11-06 08:00:00,5614,82800,12
В Башкирии при столкновении минивэна и фуры погибли 4 человека,https://ufa1.ru/text/incidents/2022/11/06/71794250/,Происшествия,2022-11-06 02:02:00,6965,64920,25
Ломились в одну дверь: как костромской клуб «Полигон» сгорел вместе с гостями. Вся история трагедии,https://ufa1.ru/text/incidents/2022/11/06/71794205/,Происшествия,2022-11-06 00:51:48,3562,82188,25
"«Если будешь сопротивляться, я воткну в тебя отвертку»: рассказываем, как похищают людей в Башкирии",https://ufa1.ru/text/criminal/2022/11/05/71789846/,Криминал,2022-11-05 21:00:00,9121,72492,17
В одном из сёл Башкирии отремонтировали улицу только у дома местного главы. Он объяснил это бизнесом московской компании,https://ufa1.ru/text/gorod/2022/11/05/71794022/,Город,2022-11-05 20:40:00,24469,85200,12
"Иран поставлял России дроны, а «Разговоры о важном» обязательны для посещения: новости СВО за 5 ноября",https://ufa1.ru/text/politics/2022/11/05/71794037/,Политика,2022-11-05 20:20:36,1586,85236,22
«Красота — это сила»: 19-летняя боксерка из Башкирии выиграла чемпионат России. Смотрим ее фото,https://ufa1.ru/text/sport/2022/11/05/71782496/,Спорт,2022-11-05 20:00:03,5497,85167,1
"Из зоны СВО на Украине в Башкирию вернулись бойцы Росгвардии. Рассказываем, как их встречали",https://ufa1.ru/text/gorod/2022/11/05/71793896/,Город,2022-11-05 18:55:00,13440,82497,12
"«Люди выбегали и просто выли». Что произошло перед пожаром в ночном клубе, где погибли 13 человек",https://ufa1.ru/text/world/2022/11/05/71793938/,Страна и мир,2022-11-05 18:46:04,3201,85864,18
«Пицца» выпустила новый клип. Что-то это напоминает,https://ufa1.ru/text/entertainment/2022/11/05/71793854/,Развлечения,2022-11-05 18:19:00,2545,84776,24
Зарезал друга и лег спать рядом: в Башкирии за убийство арестован пенсионер,https://ufa1.ru/text/criminal/2022/11/05/71793785/,Криминал,2022-11-05 17:34:00,3777,83700,17
В финале Премьер-лиги КВН выступит команда из Башкирии,https://ufa1.ru/text/entertainment/2022/11/05/71793761/,Развлечения,2022-11-05 17:05:00,3006,84660,24
"Как три капли воды! История неразлучных тройняшек, которых могут отличить только родители (а у вас получится?)",https://ufa1.ru/text/family/2022/11/05/71793446/,Семья,2022-11-05 17:00:00,1777,86100,26
"«Не модель, смешно шучу, не ищу спонсора»: разбираем с психологом, что писать в анкете на сайте знакомств, чтобы вызвать интерес",https://ufa1.ru/text/relations/2022/11/05/71790203/,Он и она,2022-11-05 17:00:00,3508,0,21
"Без пищи проживут две недели: вся страна следит за судьбой дельфинов, выброшенных в море хозяевами",https://ufa1.ru/text/incidents/2022/11/05/71793296/,Происшествия,2022-11-05 16:10:00,1722,83400,25
В Башкирии при пожаре погибла 21-летняя девушка,https://ufa1.ru/text/incidents/2022/11/05/71793659/,Происшествия,2022-11-05 15:55:00,4342,85500,25
Стали известны подробности пожара в костромском кафе,https://ufa1.ru/text/incidents/2022/11/05/71793617/,Происшествия,2022-11-05 15:10:00,1755,83700,25
Разваленная усадьба купцов Першиных: как разрушается один из старейших домов Уфы,https://ufa1.ru/text/gorod/2022/11/05/71788280/,Город,2022-11-05 15:00:00,3379,85800,12
"«Моих сыновей обманули, они — граждане России, воспитаны здесь»: что говорит отец обвиняемых в теракте студентов из Уфы",https://ufa1.ru/text/incidents/2022/11/05/71793572/,Происшествия,2022-11-05 14:39:00,23395,85140,25
Почему МЧС не проверяло пожарную безопасность сгоревшего в Костроме клуба? Официальный ответ,https://ufa1.ru/text/incidents/2022/11/05/71793566/,Происшествия,2022-11-05 14:34:00,1446,86100,25
Полиция задержала предполагаемого виновника пожара в клубе в Костроме,https://ufa1.ru/text/incidents/2022/11/05/71793584/,Происшествия,2022-11-05 14:28:00,1274,86040,25
"Она ему по пояс: девушка ростом 110 см встречается с 2-метровым парнем — посмотрите, как выглядит необычная пара",https://ufa1.ru/text/relations/2022/11/05/71785754/,Он и она,2022-11-05 14:00:00,3674,84720,21
В Башкирии назначили новых судей Верховного суда,https://ufa1.ru/text/politics/2022/11/05/71793521/,Политика,2022-11-05 13:55:00,3003,86100,22
В Башкирии просят вернуть с мобилизации акушера-гинеколога,https://ufa1.ru/text/health/2022/11/05/71793407/,Здоровье,2022-11-05 13:05:00,3252,83400,23
"«Устал бегать туда-сюда»: история айтишника, который пожил в шести странах после начала СВО",https://ufa1.ru/text/gorod/2022/11/05/71790380/,Город,2022-11-05 13:00:00,2230,86100,12
"Из детсада в Башкирии уволили воспитательницу, которая ударила 4-летнюю девочку в тихий час",https://ufa1.ru/text/incidents/2022/11/05/71793218/,Происшествия,2022-11-05 11:50:39,2780,82239,25
Эвакуационные выходы были заперты: что известно о пожаре в костромском клубе «Полигон»,https://ufa1.ru/text/incidents/2022/11/05/71793215/,Происшествия,2022-11-05 11:25:56,4199,84917,25
"«Мы не знаем, что с тобой делать, ты первый, кто пришел живой»: отец пяти дочерей вернулся с СВО и рассказал, что там происходит",https://ufa1.ru/text/world/2022/11/05/71791442/,Страна и мир,2022-11-05 11:00:00,10131,84844,18
"Плата за тепло в Уфе: куда жаловаться, что станет с ценами и как быть мобилизованным",https://ufa1.ru/text/house/2022/11/05/71786351/,Мой дом,2022-11-05 11:00:00,6632,0,14
"Один умирает, у другой всё лицо в крови: в Башкирии пьяный водитель устроил ДТП. Видео",https://ufa1.ru/text/incidents/2022/11/05/71793143/,Происшествия,2022-11-05 10:17:00,5469,83820,25
Число погибших при пожаре в ночном клубе в Костроме выросло до 13,https://ufa1.ru/text/incidents/2022/11/05/71793062/,Происшествия,2022-11-05 10:08:00,1828,85860,25
"У Овнов проблемы с весом, у Дев — с законом: астролог рассказала, чего ждать от 2023 года",https://ufa1.ru/text/entertainment/2022/11/05/71792048/,Развлечения,2022-11-05 10:00:00,4705,85920,24
"В мэрии рассказали, обновят ли трамвайный парк в Уфе",https://ufa1.ru/text/transport/2022/11/05/71792774/,Дороги и транспорт,2022-11-05 09:30:00,2836,84600,19
"Думают, что мы обречены отдыхать на родине? Как жадность Сочи отпугивает туристов",https://ufa1.ru/text/entertainment/2022/11/05/71791367/,Развлечения,2022-11-05 09:00:00,2065,84600,24
"Криминальные легенды: как поймали двух разбойников из Уфы, которые напали на три десятка мелких заведений",https://ufa1.ru/text/criminal/2022/11/05/71786213/,Криминал,2022-11-05 08:00:00,6181,82800,17
Борьба с вандалами и любовь к Стерлитамаку: вспоминаем мэра Владимира Куликова в годовщину его смерти,https://ufa1.ru/text/politics/2022/11/04/71779922/,Политика,2022-11-04 21:00:00,1966,46800,22
"Мобилизовали больше 300 тысяч, а призывать начнут даже судимых: новости СВО за 4 ноября",https://ufa1.ru/text/politics/2022/11/04/71792813/,Политика,2022-11-04 20:10:24,4641,83424,22
Минфин спрогнозировал падение доходов жителей Башкирии. Смотрим на сколько,https://ufa1.ru/text/economics/2022/11/04/71792810/,Экономика,2022-11-04 19:55:00,5141,85476,2
"В Башкирии 4 года не могут построить школу, которую хотели назвать в честь убитого террористами героя РФ",https://ufa1.ru/text/gorod/2022/11/04/71792582/,Город,2022-11-04 19:00:00,2208,83100,12
Президент одобрил прохождение альтернативной службы во время мобилизации,https://ufa1.ru/text/world/2022/11/04/71786843/,Страна и мир,2022-11-04 17:38:00,1896,81480,18
Добровольцев официально приравняли к военнослужащим ВС РФ,https://ufa1.ru/text/world/2022/11/04/71786882/,Страна и мир,2022-11-04 17:30:12,1626,85932,18
"«Можно снимать фильмы ужасов»: власти запрещают жителям поселка в Уфе, где демонтировали освещение, подключаться к электросетям",https://ufa1.ru/text/gorod/2022/11/04/71792504/,Город,2022-11-04 17:30:00,10225,86388,12
"Путин подписал закон, разрешающий призывать по мобилизации осужденных за тяжкие преступления",https://ufa1.ru/text/politics/2022/11/04/71787101/,Политика,2022-11-04 17:22:26,1942,85946,22
"«Все немножко устали от цифрового мира»: коллекционер винила рассказал, почему люди снова полюбили пластинки",https://ufa1.ru/text/entertainment/2022/11/04/71790110/,Развлечения,2022-11-04 17:00:00,1301,85054,24
"Путин рассказал, сколько человек мобилизовали в России. И это больше 300 тысяч",https://ufa1.ru/text/politics/2022/11/04/71792576/,Политика,2022-11-04 16:21:00,1997,84060,22
В Башкирии предстоят заморозки до —12 градусов,https://ufa1.ru/text/autumn/2022/11/04/71792552/,Осень,2022-11-04 16:20:00,1667,86340,9
"Замки за десятки миллионов, огромные участки и вычурная мебель: рассказываем о самых дорогих особняках в Уфе на продажу",https://ufa1.ru/text/realty/2022/11/04/71788847/,Недвижимость,2022-11-04 16:00:00,10701,85200,4
Семья из России сбежала в Индию из-за мобилизации и оказалась в тяжелых условиях. Как они там живут?,https://ufa1.ru/text/world/2022/11/04/71790890/,Страна и мир,2022-11-04 15:00:00,4055,82800,18
Как снежная баба: выбираем пуховик на зиму правильно — модная модель и теплый наполнитель,https://ufa1.ru/text/style/2022/11/04/71747366/,Стиль и красота,2022-11-04 14:00:00,2744,82800,7
Принесли похоронный венок и отжимали бизнес: в Башкирии из-за фирмы такси устроили разборки стиле 90-х,https://ufa1.ru/text/criminal/2022/11/04/71792339/,Криминал,2022-11-04 13:55:00,7368,86100,17
"«Я очень устала». Как живет школьница, которая родила в 16 лет на камеру",https://ufa1.ru/text/family/2022/11/04/71791265/,Семья,2022-11-04 13:00:00,9897,83100,26
"«На связь не выходит, только дома лежит»: фермер из Башкирии — о коллеге, которого ФСБ уличила в мошенничестве с субсидиями",https://ufa1.ru/text/incidents/2022/11/04/71792099/,Происшествия,2022-11-04 12:50:26,8664,85826,25
17 пропавших моряков с крейсера «Москва» признали погибшими,https://ufa1.ru/text/incidents/2022/11/04/71792102/,Происшествия,2022-11-04 12:42:44,2572,85938,25
"«Этнографический диктант»: спорим, вы не ответите на эти 10 вопросов об истории России и ее народах?",https://ufa1.ru/text/education/2022/11/04/71783735/,Образование,2022-11-04 12:00:00,2138,83836,16
Ставки растут: в Башкирии подскочили цены на жилую недвижимость,https://ufa1.ru/text/realty/2022/11/04/71791967/,Недвижимость,2022-11-04 11:57:00,8847,86220,4
"«Муж вернулся с того света». Рассказ жены мобилизованного, которой удалось увезти его прямо с фронта",https://ufa1.ru/text/world/2022/11/04/71791175/,Страна и мир,2022-11-04 11:00:00,6563,82980,18
"«Чего стыдиться? Зато на дороге все улыбаются!» Рассказываем, кто ездит по Башкирии на машинах с неприлично блатными номерами",https://ufa1.ru/text/transport/2022/11/04/71790431/,Дороги и транспорт,2022-11-04 11:00:00,10713,0,19
Такой вот выходной: как в Уфе пройдет День народного единства,https://ufa1.ru/text/gorod/2022/11/04/71791901/,Город  Культура,2022-11-04 10:30:00,3016,84600,12
"Успеешь за вечер: 10 мини-сериалов, которые можно посмотреть за выходные",https://ufa1.ru/text/entertainment/2022/11/04/71789606/,Развлечения,2022-11-04 10:00:00,1420,84600,24
«Кто-то с бодуна крикнул». Военные эксперты — о возвращении двухгодичного срока службы в армии,https://ufa1.ru/text/world/2022/11/04/71791088/,Страна и мир,2022-11-04 09:00:00,1990,82800,18
"На что потратили 200 миллионов рублей: смотрим, как выглядит Демский парк в Уфе",https://ufa1.ru/text/gorod/2022/11/04/71789642/,Город,2022-11-04 08:00:00,10937,82800,12
Владимир Путин решил выдать 195 тысяч мобилизованным и контрактникам,https://ufa1.ru/text/politics/2022/11/04/71791763/,Политика,2022-11-04 00:45:41,2349,60341,22
Обмен пленными и предложение увеличить срок службы в армии: новости СВО за 3 ноября,https://ufa1.ru/text/world/2022/11/03/71788643/,Страна и мир,2022-11-03 22:00:00,2054,76459,18
"«С детьми нужно договариваться»: эксперты — о воспитательнице из Башкирии, которая отлупила девочку в детском саду",https://ufa1.ru/text/incidents/2022/11/03/71788868/,Происшествия,2022-11-03 22:00:00,8384,0,25
