Заголовок новости,Ссылка,Рубрика,Дата публикации,Количество просмотров,Частота публикаций,Метка рубрики
Добровольцам будут выдавать снаряжение в воинских частях: новости СВО за 30 января,https://ufa1.ru/text/world/2023/01/30/72015128/,Страна и мир,2023-01-30 22:05:00,1971,53100,18
«Мне не нужны смягчающие обстоятельства»: арестованный замначальника полиции Башкирии выступил в суде,https://ufa1.ru/text/criminal/2023/01/30/72017522/,Криминал,2023-01-30 22:00:00,6801,86100,17
Москва отказала: власти российской столицы отменили передачу 50 трамваев Уфе,https://ufa1.ru/text/transport/2023/01/30/72017621/,Дороги и транспорт,2023-01-30 20:55:00,8266,82500,19
Замглавы районной администрации Уфы спустя 12 лет обвинили в подделке диплома вуза,https://ufa1.ru/text/incidents/2023/01/30/72017609/,Происшествия,2023-01-30 20:32:00,22945,85020,25
Подарки от зэка: перед судом предстанет бывший начальник исправительной колонии в Уфе,https://ufa1.ru/text/criminal/2023/01/30/72017459/,Криминал,2023-01-30 19:14:00,23540,81720,17
"«Надо, Федя, надо!»: этот тест докажет, что вы не помните фильмы Гайдая",https://ufa1.ru/text/entertainment/2023/01/30/72015662/,Развлечения,2023-01-30 19:00:00,2551,85560,24
"Дотянуть бы: чиновники прогнозируют, что средняя продолжительность жизни в Башкирии достигнет 73 лет",https://ufa1.ru/text/economics/2023/01/30/72017195/,Экономика,2023-01-30 18:21:50,2434,84110,2
"А вы так делаете? Ученый нашел 11 отличий в жизни богачей и бедняков — возможно, именно они приводят нас к безденежью",https://ufa1.ru/text/entertainment/2023/01/30/72014348/,Развлечения,2023-01-30 18:00:00,2991,85090,24
С 1 февраля вырастут выплаты и пособия: кто получит прибавку,https://ufa1.ru/text/economics/2023/01/30/72017045/,Экономика,2023-01-30 17:59:45,2179,86385,2
Битва перевозчиков: узнали подробности ДТП с автобусами в центре Уфы,https://ufa1.ru/text/incidents/2023/01/30/72016769/,Происшествия,2023-01-30 17:04:00,5738,83055,25
"Январь-2023 звездам шоу-бизнеса принес одни убытки. Кто, кроме скандального Лепса, смог еще заработать на корпоративах",https://ufa1.ru/text/entertainment/2023/01/30/72014567/,Развлечения,2023-01-30 17:00:00,1763,86160,24
Иномарки из Кореи — по низким ценам: в Уфу стали возить авто напрямую без посредников по ценам дешевле рынка,https://ufa1.ru/text/auto/2023/01/30/72011087/,Авто  Город,2023-01-30 16:33:00,10701,84780,8
"«Хороший был мужик, только пил»: стали известны личности погибших в пожаре в Уфе",https://ufa1.ru/text/incidents/2023/01/30/72016646/,Происшествия,2023-01-30 16:10:00,5140,85020,25
Под Уфой поезд насмерть сбил 23-летнего парня,https://ufa1.ru/text/incidents/2023/01/30/72016628/,Происшествия,2023-01-30 16:03:00,3359,85980,25
"Тела вынесли в одеялах: фото с место пожара в Уфе, где нашли останки 2 человек",https://ufa1.ru/text/incidents/2023/01/30/72016526/,Происшествия,2023-01-30 15:27:30,3961,84270,25
"«Сначала было страшно, стыдно и тяжело»: история продавщицы, которая бесплатно кормит обедами нуждающихся",https://ufa1.ru/text/gorod/2023/01/30/72008282/,Город,2023-01-30 15:00:00,2348,84750,12
Украина ввела санкции против «Башкирской содовой компании»,https://ufa1.ru/text/politics/2023/01/30/72016370/,Политика,2023-01-30 14:52:00,2201,85920,22
В Уфе построят две новые улицы. Рассказываем где,https://ufa1.ru/text/gorod/2023/01/30/72016136/,Город,2023-01-30 14:18:00,7746,84360,12
Отсрочка от мобилизации для отцов с тремя детьми сохранилась,https://ufa1.ru/text/world/2023/01/30/72016124/,Страна и мир,2023-01-30 14:16:00,1459,86280,18
В Уфе после пожара в бараке нашли останки двух человек,https://ufa1.ru/text/incidents/2023/01/30/72015950/,Происшествия,2023-01-30 13:27:00,3535,83460,25
"Как защититься от продавца-банкрота и соседей-дебоширов? Инструкция для тех, кто собрался покупать квартиру",https://ufa1.ru/text/realty/2023/01/30/72008366/,Недвижимость,2023-01-30 13:00:00,1812,84780,4
Вылетел из окна: появилось видео столкновения автобусов в центре Уфы,https://ufa1.ru/text/incidents/2023/01/30/72015827/,Происшествия,2023-01-30 12:50:00,18056,85800,25
«В нефтегазовой державе хлеб должен стоить 10 рублей»: депутат Курултая — о ценах в магазинах Уфы,https://ufa1.ru/text/gorod/2023/01/30/72015077/,Город,2023-01-30 12:36:00,3500,85560,12
В центре Уфы столкнулись два автобуса. Один из них влетел в историческое здание,https://ufa1.ru/text/incidents/2023/01/30/72015710/,Происшествия,2023-01-30 12:19:00,7118,85380,25
